"* Required Fields","* שדות חובה"
"-- Select --","-- בחר --"
"Add New Option","הוסף אופציה"
"Add Selection","הוסף נבחרים"
"As Low as","נמוך עד כדי"
"As low as","נמוך עד כדי"
"Bundle Items","פריטים מקובצים"
"Bundle Product","מוצר מקובץ"
"Buy %1$s with %2$s discount each","קנה %1$s עם %2$s הנחה ליחידה"
"Catalog Product View (Bundle)","צפייה בקטלוג מוצרים (חבילה)"
"Checkbox","תיבת בחירה"
"Choose a selection...","בחר..."
"Close","סגור"
"Default","ברירת מחדל"
"Default Qty","כמות ברירת מחדל"
"Default Title","כותרת ברירת מחדל"
"Drop-down","תיבת בחירה"
"Dynamic","דינמי"
"Excl. Tax","לא כולל מס"
"Fixed","תוקן"
"From","מ"
"From:","מ:"
"Gift Message","ברכה"
"Incl. Tax","כולל מס"
"Input Type","סוג שדה כתיבה"
"Is Required","נדרש"
"Message:","הודעה:"
"Multiple Select","בחירה מרובה"
"N/A","לא זמין"
"No options of this product are available.","אין אפשרויות זמינות למוצר זה."
"None","ללא/כלום"
"Percent","אחוז"
"Percent Discount","אחוז הנחה"
"Please Select Products to Add","אנא, בחר מוצרים שברצונך להוסיף"
"Please enter search conditions to view products.","אנא בחר תנאי חיפוש בכדי לסקור מוצרים"
"Please select options for product.","אנא בחר אפשרויות של מוצרים."
"Please specify product option(s).","אנא , ציין אפשרויות מוצר"
"Position","מיקום"
"Price Range","טווח מחירים"
"Price Type","סוג מחיר"
"Price as configured","מחיר כפי שהוגדר"
"Qty:","כמות:"
"Radio Buttons","כפתורי רדיו"
"Required options are not selected.","אפשרויות נדרשות לא נבחרו"
"Selected required options are not available.","אפשרויות נדרשות שנבחרו לא פעילות"
"Separately","בנפרד"
"Ship Bundle Items","שלח חבילת פריטים"
"Shipment","משלוח"
"Store View Title","כותרת תצוגת חנות"
"There is no defined renderer for ""%s"" option type.","לא הוגדר מסייע עבור סוג האפשרות ""%s"" ."
"This product is also part of bundle(s)","מוצר זה הוא חלק מחבילה "
"To","עבור/ל/עד"
"To:","עבור/ל/עד:"
"Together","ביחד"
"Use Default Value","השתמש בברית המחדל"
"User Defined Qty"," Qty מוגדרת על ידי משתמש"
