"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d חוקי מחירי קטלוג התבססו על  ""%s"" התכונה בוטלה."
"Actions","פעולות"
"Active","פעיל"
"Add New Rule","הוסף חוק"
"An error occurred while deleting the rule. Please review the log and try again.","ארעה שגיאה במהלך מחיקת החוק. אנא התייחס למפורט ונסה שנית"
"An error occurred while saving the rule data. Please review the log and try again.","ארעה שגיאה במהלך שמירת החוק. אנא התייחס למפורט ונסה שנית"
"Apply Rules","הפעל חוקים"
"Attribute Set","סט תכונות"
"Catalog","קטלוג"
"Catalog Price Rule","חוק תמחור לקטלוג"
"Catalog Price Rules","חוקי תמחור לקטלוג"
"Category","קטגוריה"
"Conditions","תנאים"
"Conditions (leave blank for all products)","תנאים (השאר ריק בשביל כל המוצרים)"
"Conditions Combination","שילוב תנאים"
"Customer Groups","קבוצות לקוחות"
"Customer Registered: %s","לקוחות רשומים: %s"
"Customer is a New Buyer: %s","לקוח הוא קונה חדש: %s"
"Date Expire","תאריך פג תוקף"
"Date From","מתאריך"
"Date Start","תאריך התחלה"
"Date To","עד תאריך"
"Delete Rule","מחק חוק"
"Description","תיאור"
"Description: %s","תיאור: %s"
"Edit Rule","ערוך חוק"
"Edit Rule '%s'","ערוך חוק '%s'"
"Expire at: %s","פג תוקף ב: %s"
"From Date","מתאריך"
"General Information","מידע כללי"
"ID","קוד/ת.ז/זיהוי"
"Inactive","לא פעיל"
"NOT LOGGED IN","לא מחובר"
"Name: %s","שם: %s"
"New Rule","חוק חדש"
"No","לא"
"Options","אפשרויות"
"Priority","עדיפות/מועדף"
"Product Attribute","מאפיין המוצר"
"Promotions","מבצעים"
"Rule Information","מידע על חוק"
"Rule Name","שם חוק"
"Save Rule","שמור חוק"
"Save and Apply","שמור ואשר"
"Save and Continue Edit","שמור והמשך בעריכה"
"Start at: %s","מתחיל ב: %s"
"Status","מצב"
"Stop Further Rules Processing","עצור המשך עיבוד חוקים"
"The rule has been deleted.","החוק נמחק בהצלחה."
"The rule has been saved.","החוק נשמר בהצלחה."
"The rules have been applied.","החוק יושם בהצלחה."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","יש חוקים ששונו אך לא הופעלו. אנא, לחץ על הפעל חוקים כדי לראות השפעה מיידית בקטלוג."
"This rule no longer exists.","החוק לא קיים"
"To Date","עד לתאריך"
"Unable to apply rules.","לא ניתן להפעיל חוקים."
"Unable to find a rule to delete.","לא נמצאו חוקים למחיקה"
"Update product's %s %s: %s","עדכן מוצר %s %s: %s"
"Websites","אתרים"
"Wrong rule specified.","נבחר חוק שגוי."
"Yes","כן"
