"%s and greater","%s ויותר"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d פריט(ים)</strong> נמצאו בחיפוש בקריטריונין"
"Advanced Search","חיפוש מתקדם"
"Advanced Search Form","טופס חיפוש מתקדם"
"Advanced Search Result","תוצאות חיפוש מתקדם"
"All","הכל"
"Applies for ""Like"" search type only.","מתאים רק לחיפוש מסוג ""לייק"""
"Apply Layered Navigation if Search Results are Less Than","הפעל ניווט layered אם יש פחות תוצאות חיפוש מ"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process."," הגדרות שקשורות עם אינדקס חיפוש שונו. אנא , הרץ  <a href=""%s"">שחזור אינדקס חיפוש</a> ."
"Autogenerated Site Map","מפת אתר אוטומטית"
"Catalog Advanced Search","חיפוש מתקדם בקטלוג"
"Catalog Search","חיפוש בקטלוג"
"Catalog Search Index","אינדקס חיפוש בקטלוג"
"Don't see what you're looking for?","לא מוצא מה שאתה מחפש?"
"Enter ""0"" to enable layered navigation for any number of results.","הקלד ""0"" כדי לאפשר ניווט layered  עבור כל מספר תוצאות."
"Go","חפש"
"Go to Home Page","חזור לדף הבית"
"Grid","רשת"
"Home","דף הבית"
"List","רשימה"
"Maximum Query Length","אורך מקסימלי לשאילה"
"Maximum Query Words Count","מספר מילים מקסימלי בשאילתה"
"Maximum Search query  length is %s. Your query was cut.","מספר מילים מקסימלי בחיפוש הוא %s. השאילה שלך נחתכה."
"Minimal Query Length","אורך מינימלי של שאילתה"
"Minimum Search query length is %s","אורך מינימלי של שאילתת חיפוש הוא  %s"
"Modify your search","התאם את החיפוש שלך"
"No","לא"
"No items were found using the following search criteria.","לא נמצאו תוצאות חיפוש מתאימות לקריטריונים שנבחרו"
"Please specify at least one search term.","אנא ציין לפחות מונח חיפוש אחד"
"Popular Search Terms","מונחי חיפוש פופלריים"
"Quick Search Form","טופס חיפוש מהיר"
"Rebuild Catalog product fulltext search index","שחזור אינדקס חיפוש מוצרי קטלוג"
"Relevance","רלוונטיות"
"Results","תוצאות"
"Search","חיפוש"
"Search Settings","הגדרות חיפוש"
"Search Terms","מילות חיפוש"
"Search Type","סוג חיפוש"
"Search entire store here...","חפש בכל החנות כאן..."
"Search results for '%s'","תוצאות חיפוש עבור '%s'"
"Search results for: '%s'","תוצאות חיפוש עבור: '%s'"
"Search:","חיפוש:"
"Subscribe to Feed","הרשם ל- Feed"
"There are no search terms available.","אין מונחי חיפוש זמינים"
"Yes","כן"
"Your search returns no results.","אין תוצאות לשאילתת חיפוש שלך"
"up to %s","עד ל %s"
