"Collected Files Count","ספירת קבצים שנאספו"
"Compilation","קומפילציה"
"Compilation State","סטאטוס קומפילציה"
"Compilation error","טעות בקומפילציה"
"Compiled","תהליך קומפילציה הושלם"
"Compiled Scopes Count","ספירת טווח קופילציה"
"Compiler Status","סטאטוס קומפיילר"
"Compiler include path is disabled.","כלילת נתיב בקומפיילר לא מופעלת"
"Compiler include path is enabled.","כלילת נתיב בקומפיילר מופעלת"
"Directory ""%s"" must be writeable","ספרייה ""%s""  חייבת להיות ניתנת לכתיבה"
"Disable","כבה"
"Disabled","כבוי/לא פעיל"
"Enable","אפשר"
"Enabled","פעיל"
"File ""%s"" must be writeable","קובץ ""%s""  חייב להיות ניתן לכתיבה"
"Not Compiled","לא קומפל"
"Run Compilation Process","הרץ תהליך קומפילציה"
"Scopes Compilation Settings","הגדר טווח קומפילציה"
"System","מערכת"
"The compilation has completed.","תהליך קומפילציה הסתיים"
"Tools","כלים"
