"1.5.0.0 & later","1.5.0.0 & לאחר"
"Action","פעולה"
"Add Author","הוסף כותב"
"Add Contents Path","הוסף מיקום לתוכן"
"Add PHP Extension dependency","הוסף תלות הרחב PHP"
"Add Package dependency","הוסף תלות חבילה"
"Add files","הוסף קבצים"
"Authors","כותבים"
"Channel","ערוץ"
"Contents","תכנים"
"Create Extension Package","צור חבילת הרחבה"
"Dependencies","תלות"
"Description","תיאור"
"Edit Extension","ערוך הרחבות "
"Email","מייל"
"Extension","הרחבה/תוספת"
"Extensions","הרחבות /תוספות"
"Failed to create the package.","ארעה שגיאה במהלך יצירת החבילה"
"Failed to load the package data.","ארעה שגיאה במהלך טעינת פרטי החבילה"
"Failed to save the package.","ארעה שגיאה במהלך שמירת החבילה"
"Files","קבצים"
"Folder","תיקייה"
"Ignore","התעלם"
"Include","כולל"
"License","רישיון"
"License URI"," URI רישיון "
"Load Local Package","טען חבילה מקומית"
"Load local Package","טען חבילה מקומית"
"Magento Connect","Magento Connect"
"Magento Connect Manager"," ניהול Magento Connect "
"Max","מקסימלי/מקסימום"
"Maximum","מקסימום"
"Min","מינימום"
"Minimum","מינימום"
"Name","שם"
"New Extension","הרחבה חדשה"
"PHP Version","גרסת PHP "
"Package","חבילה"
"Package Extensions","תוספות חבילה"
"Package File Name","שם קובץ בחילה"
"Package Info","פרטי חבילה"
"Packages","חבילות"
"Path","נתיב"
"Pre-1.5.0.0","לפני-1.5.0.0"
"Release Info","פרטי עדכון"
"Remove","הסר"
"Save As...","שמור כ..."
"Save Data and Create Package","שמור מידע וצור חבילה"
"Save package with custom package file name","צור חבילה עם שם קובץ חבילה מותאם"
"Summary","סיכום"
"Supported releases","עדכונים נתמכים"
"System","מערכת"
"Target","מטרה"
"The package %s data has been loaded.","פרטי חבילה %s  הועלו."
"The package data has been saved.","פרטי החבילה נשמרו"
"There was a problem saving package data","ארעה שגיאה במהלך שמירת פרטי החבילה"
"Type","סוג"
"User","משתמש"
