"* Select shipping method","* בחר אופן שילוח"
"<br />Warning: <strong>%s</strong><br />","<br />שים לב: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">שים לב!</strong>אפשרות זאת מבטלת חישוב משלוח .עם אפשרות זאת , ממש ניהול Google מתעלם מכל הניסיונות להשפיע על מחירי שילוח prices."
"A virtual item to reflect the discount total","פריט וירטואלי לשקף סכום הנחה"
"A virtual item to reflect the tax total","פריט וירטולי לשקף מע”מ"
"AVS Status: %s","AVS סטטוס: %s"
"Add","הוסף"
"Add Shipping Method","הוסף שיטת משלוח"
"Allowed Methods","פעולות מורשות"
"Amount: %s","כמות: %s"
"Auto-generated from GoogleCheckout Charge","נוצר באופן אוטומטי על ידי GoogleCheckout Charge"
"Buyer Account Age: %s days","ותק חשבון לקוח: %s ימים"
"CC Partial: xxxx-%s","CC חלקי: xxxx-%s"
"CID Status: %s","CID סטאטוס: %s"
"Carrier Calculated Methods","שיטות הובלה מחושבות"
"Cart Discount","הנחת עגלת קניות"
"Checkout Image Style","סוג תמונה בצ'ק אאוט"
"Continue Shopping URL","כתובת להמשך קנייה"
"Credit memo has been created automatically","תזכיר אשראי נוצר באופן אוטומטי"
"Debug","אתר שגיאות"
"Default Package Height (in)","חבילה - גובה ברירת מחדל (אינצ)"
"Default Package Length (in)","חבילה - אורך ברירת מחדל (אינצ)"
"Default Package Width (in)","חבילה - רוחב ברירת מחדל (אינצ)"
"Default Price for Methods","מחירים קבועים עבור השיטות"
"Default price:","מחיר ברירת מחדל:"
"Delivery Address Category","קטגוריית כתובת מסירה"
"Delivery Schedule","לו”ז משלוחים"
"Disable Default Tax Tables","כבה את טבלות המס של ברירת המחדל"
"Discount Tax","גובה הנחה"
"Eligible for Protection: %s","כשיר לביצוע הגנה: %s"
"Enable","אפשר"
"Enable Carrier Calculated","אפשר חישוב הובלה"
"Enable Digital Delivery","אפשר משלוח דיגיטלי"
"Enable Flat Rate","אפשר שיעור flat"
"Enable Merchant Calculated","אפשר חישוב סוחרים"
"Enable this if your checkout request is too big and being cut off.","אפשר זאת אם בקשת הצ'ק אאוט שלך ארוכה מדי ונחתכת"
"Expiration: %s","תפוגה: %s"
"Financial: %s -> %s","פיננסי: %s -> %s"
"Free Shipping","שילוח חינם"
"Fulfillment: %s -> %s","מימוש: %s -> %s"
"Google API","ממשק ניהול Google"
"Google Authorization:","Google הרשאת:"
"Google Buyer ID: %s","Google קוד קונה: %s"
"Google Charge:","Google גביית:"
"Google Chargeback:","Google גבייה חוזרת:"
"Google Checkout","Google צ'ק אאוט"
"Google Checkout Shipping - Carrier Calculated","Google צ'ק אאוט משלוח – הובלה מחושבת"
"Google Checkout Shipping - Digital Delivery","Google צ'ק אאוט משלוח – משלוח דיגיטלי"
"Google Checkout Shipping - Flat Rate","Google צ'ק אאוט משלוח – שיעור flat"
"Google Checkout Shipping - Merchant Calculated","Google צ'ק אאוט משלוח – סוחר מחושב"
"Google Checkout: %s","Google צ'ק אאוט: %s"
"Google Order Number: %s","Google מספר הזמנה: %s"
"Google Order Status Change:","Google שינוי בסטאטוס הזמנה:"
"Google Refund:","Google החזר:"
"Google Risk Information:","Google מידע סיכון:"
"Hide Cart Contents","הסתר תוכן עגלה"
"IP Address: %s","כתובת IP: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","אם מאופשר,תוכן עגלה יהיה חסוי לאחר לחיצה על כפתור Google  צ'ק אאוט בעגלת הקניות, וישוחזר אם יופעל קישור ""ערוך עגלת קניות"". "
"Invoice Auto-Created: %s","חשבונית שנוצרה באופן אוטומטי: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","האם הקונה מוכן לקבל דיוור: %s"
"Large - %s","גדול - %s"
"Latest Charge: %s","חיוב אחרון: %s"
"Latest Chargeback: %s","Latest Chargeback: %s"
"Latest Refund: %s","החזר אחרון: %s"
"Location","מיקום/אתר"
"Medium - %s","בינוני - %s"
"Merchant ID","קוד סוחר"
"Merchant Key","מפתח סוחר"
"Method","שיטה"
"New Order Status","סטאטוס הזמנה חדשה"
"No","לא"
"Optional, leave empty for home page.","אופציונלי, השאר ריק לעמוד הבית"
"Rate 1 Amount","שיעור 1 כמות"
"Rate 1 Ship To Applicable Countries","שיעור 1 שלח למדינות אפשריות"
"Rate 1 Ship to Specific Countries","שיעור 1 שלח למדינות נבחרות"
"Rate 1 Title","שיעור 1 כותרת"
"Rate 2 Amount","שיעור 2 כמות"
"Rate 2 Ship To Applicable Countries","שיעור 2 שלח למדינות אפשריות"
"Rate 2 Ship to Specific Countries","שיעור 2 שלח למדינות נבחרות"
"Rate 2 Title","שיעור 2 כותרת"
"Rate 3 Amount","שיעור 3 כמות"
"Rate 3 Ship To Applicable Countries","שיעור 3 שלח למדינות אפשריות"
"Rate 3 Ship to Specific Countries","שיעור 3 שלח למדינות נבחרות"
"Rate 3 Title","שיעור 3 כותרת"
"Remove","הסר"
"Required for live Google Checkout transactions.","נדרש לצ'ק אאוט Live Google"
"Sandbox","תיבת שליחה"
"Secure Callback URL","כתובת URL מאובטחת לחזרה"
"Small - %s","קטן - %s"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","גובה מס חושב לפי מידע שהתקבל מצ'ק אאוט Google, מכיוון שגובה המס שהתקבל מ Google צ'ק אאוט שונה מסכום המס המחושב"
"Title","כותרת"
"Total Chargeback: %s","סה”כ גבייה חוזרת: %s"
"Total Charged: %s","סה""כ חוייב: %s"
"Total Refunded: %s","סה""כ הוחזר: %s"
"Transparent","שקוף"
"United Kingdom","אנגליה"
"United States","ארה""ב"
"White Background","רקע לבן"
"Yes","כן"
"You will be redirected to GoogleCheckout in a few seconds.","אתה תועבר ל Google צ'ק אאוט בעוד מספר שניות"
