"An error occurred while clearing the external full page cache.","ארעה שגיאה במהלך מחיקת cache חיצוני של כל הדף "
"Cookie Lifetime (seconds)","אורך חיים של עוגיה (שניות)"
"Enable External Cache","אפשר cache חיצוני"
"External Cache Control","שליטה ב cache חיצוני"
"External Full Page Cache Settings","הגדרות cache חיצוני של כל הדף "
"External full page cache.","cache חיצוני של כל הדף"
"Failed to load external cache control","נכשל בטעינת שליטה ב cache דף חיצוני "
"Flush External Page Cache","מחק cache חיצוני של כל הדף"
"If empty, default value will be used.","אם ריק, יבוצע שימוש בערך ברירת מחדל"
"The external full page cache has been cleaned."," cache חיצוני של כל הדף נמחק בהצלחה"
"Zend Full Page Cache","Zend Full Page Cache"
