" for more information or ","למידה נוסף או"
"# of Items (and above)","# פריטים (ומעל)"
"# of Items vs. Destination","# פריטים ביחס ליעד"
"Allow Shipping to Multiple Addresses","אפשר משלוח למספר כתובת"
"An error occurred while import table rates.","ארעה שיגאה במהלך ייבוא טבלות השיעורים"
"Calculate Handling Fee","חשב עלות טיפול"
"Carrier:","משלח"
"City","עיר"
"Close Window","סגור חלון"
"Condition","תנאי"
"Country","ארץ"
"Date","תאריך"
"Delivered on:","נמסר ב:"
"Delivered to:","נמסר ל:"
"Description","תיאור"
"Displayed Error Message","הודעת שגיאה מוצגת"
"Enabled","פעיל"
"Error:","שגיאה:"
"Export","ייצוא/ייצא"
"Fixed","תוקן"
"Flat Rate"," שיעור Flat"
"Free Shipping","שילוח חינם"
"Google Sitemap Section","מפת אתר של Google"
"Handling Fee","עמלת טיפול"
"Import","ייבוא/ייבא"
"Include Virtual Products in Price Calculation","כלול מוצרים וירטואליים בחישובי עלויות"
"Info:","מידע/פרטים:"
"Invalid Table Rate code for type %s: %s","שקלול סוג הקוד בטבלא שגוי %s: %s"
"Invalid Table Rate code type: %s","שקלול סוג הקוד בטבלא שגוי: %s"
"Invalid Table Rates File Format","פורמט קובץ טבלת שיעורים לא תקינה"
"Local Time","שעה מקומית"
"Location","מיקום/אתר"
"Maximum Qty Allowed for Shipping to Multiple Addresses","כמות מקסימלית של כמויות שניתן לשלוח למספר כתובות"
"Method Name","שם השיטה"
"Minimum Order Amount","כמות מינימלית בהזמנה"
"N/A","לא זמין"
"None","ללא"
"Options","אפשרויות"
"Order Subtotal (and above)","סך ביניים להזמנה (ומעליו)"
"Origin","מקור"
"Per Order","להזמנה"
"Per Package","לחבילה"
"Percent","אחוז"
"Price","מחיר"
"Price vs. Destination","מחיר כנגד היעד"
"Region/State","איזור/מדינה"
"Service Type:","סוג שירות:"
"Ship to Applicable Countries","שלח למדינות אפשריות"
"Ship to Specific Countries","שלח למדינות מסויימות"
"Shipment #","משלוח #"
"Shipment Tracking Popup","חלון קופץ של מעקב אחר משלוח"
"Shipped or billed on:","נשלח או חוייב ב:"
"Shipping Methods","שיטות משלוח"
"Shipping Methods Section","שיטות שילוח"
"Shipping Settings","הגדרות משלוח"
"Shipping Settings Section","הגדרות משלוח"
"Show Method if Not Applicable","הצג שיטות אם לא אפשרי"
"Signed by:","נחתם ע""י:"
"Sort Order","סדר מיון"
"Status:","סטטוס:"
"Store Pickup","איסוף עצמי מהחנות"
"Table Rates","טבלת שיעורים"
"The shipping module is not available for selected delivery country.","מודול המשלוח הנבחר לא אפשרי למדינה שנבחרה"
"The shipping module is not available.","מודול המשלוח לא אפשרי"
"There is no tracking available for this shipment.","אין מעקב זמין למשלוח זה."
"There is no tracking available.","אין מעקב זמין."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","שיטת משלוח זו לא זמינה כעת. אם ברצונך להשתמש בה לשילוח אנא צור קשר."
"This shipping method is not available, please specify ZIP-code","שיטת המשלוח לא אפשרית , אנא ציין מיקוד"
"Title","כותרת"
"Track:","איתור:"
"Tracking Information","פרטי מעקב"
"Tracking Number:","מספר איתור/מעקב:"
"Tracking information is currently not available. Please ","מידע האיתור אינו זמין כרגע. בבקשה"
"Tracking information is currently unavailable.","מידע האיתור אינו זמין כרגע."
"Type","סוג"
"Weight (and above)","משקל (ומעליו)"
"Weight vs. Destination","משקל ביחס היעד"
"Weight:","משקל:"
"ZIP/Postal Code","מיקוד/ת.ד."
"contact us","צור קשר"
"email us at ","כתוב אלינו ל"
