" If you run the site in developer mode, full email information is logged in var/log/giftcert.log"," If you run the site in developer mode, full email information is logged in var/log/giftcert.log"
"%d PDF templates were deleted. ","%d PDF templates were deleted. "
"%d emails could not be sent.","%d emails could not be sent."
"* Magento Bundled Fonts","* Magento Bundled Fonts"
"* Please select","* Please select"
"-- Please Select Template --","-- Please Select Template --"
"<strong>If this is checked all changes made to PDF settings will be ignored.</strong>","<strong>If this is checked all changes made to PDF settings will be ignored.</strong>"
"A PHP extension stopped file %s upload.","A PHP extension stopped file %s upload."
"Accepts random patters same as Certificate Number","Accepts random patters same as Certificate Number"
"Action","Action"
"Active","Active"
"Message:","ברכה:"
"Add New Gift Certificate","Add New Gift Certificate"
"Add PDF Template","Add PDF Template"
"Add Recipient","Add Recipient"
"Add Row","Add Row"
"Add Unique Message (optional):","Add Unique Message (optional):"
"Add certificate info to order details","Add certificate info to order details"
"Added on","Added on"
"Admin Created","Admin Created"
"Administrative Configuration","Administrative Configuration"
"All Files","All Files"
"Allow custom message","Allow custom message"
"Allow only one certificate per order (Single mode)","Allow only one certificate per order (Single mode)"
"Allow recipient's address","Allow recipient's address"
"Allow recipient's email","Allow recipient's email"
"Always handle GC as virtual products","Always handle GC as virtual products"
"Amount is not within the specified range.","Amount is not within the specified range."
"Amount values configuration","Amount values configuration"
"Amount","Amount"
"Amount: %s","Amount: %s"
"An error occurred while importing:","An error occurred while importing:"
"An error occurred while saving this configuration:","An error occurred while saving this configuration:"
"Apply Card","Apply Card"
"Apply certificate only if the following conditions are met (leave blank for all products)","Apply certificate only if the following conditions are met (leave blank for all products)"
"Are you sure?","Are you sure?"
"Auto generate PIN","Auto generate PIN"
"Auto generate certificate number","Auto generate certificate number"
"Balance","Balance"
"Balance: ","Balance: "
"Bold","Bold"
"By Email","By Email"
"By Post","By Post"
"By email only","By email only"
"CSV and Tab Separated files (.csv, .txt)","CSV and Tab Separated files (.csv, .txt)"
"CSV field delimiter","CSV field delimiter"
"CSV field enclosure","CSV field enclosre"
"CSV file name","CSV file name"
"CSV","CSV"
"Can not create multiple Gift Certificates with the same code.","Can not create multiple Gift Certificates with the same code."
"Cannot create multiple Gift Certificates with the same code.","Cannot create multiple Gift Certificates with the same code."
"Card Number","Card Number"
"Certificate Code","Certificate Code"
"Certificate ID","Certificate ID"
"Certificate PDF Template","Certificate PDF Template"
"Certificate balance","Certificate balance"
"Certificate cannot be used by current customer. If you are not logged in, log in and try again.","Certificate cannot be used by current customer. If you are not logged in, log in and try again."
"Certificate cannot be used in current store.","Certificate cannot be used in current store."
"Certificate code column not found in file","Certificate code column not found in file"
"Certificate number pattern","Certificate number pattern"
"Certificate number(s)","Certificate number(s)"
"Change status to active on payment completion","Change status to active on payment completion"
"Change status","Change status"
"Characters Remaining:","מספר תווים שנותרו לכתיבת הברכה:"
"Check Balance","Check Balance"
"Check Your Gift Card Balance","Check Your Gift Card Balance"
"code: ","code: "
"Color","Color"
"Comments","Comments"
"Conditions","Conditions"
"Could not find file uploader.","Could not find file uploader."
"Could not get connection, ","Could not get connection, "
"Courier","Courier"
"Create gift certificate","Create gift certificate"
"Create Gift Certificates","Create Gift Certificates"
"Create","Create"
"Created At","Created At"
"Created by","Created by"
"Currency code","Currency code"
"Currency","Currency"
"Custom Message","Custom Message"
"Custom message max length","Custom message max length"
"Custom message","Custom message"
"Customer Created","Customer Created"
"Customer Email","Customer Email"
"Customer group conditions","Customer group conditions"
"Date cannot be parsed","Date cannot be parsed"
"Default Expiration Timespan (in days)","Default Expiration Timespan (in days)"
"Default status","Default status"
"Defaults","Defaults"
"Delete Gift Certificate","Delete Gift Certificate"
"Delete PDF Template","Delete PDF Template"
"Delete entry","Delete entry"
"Delete gift certificate","Delete gift certificate"
"Delete Gift Certificates","Delete Gift Certificates"
"Delete","Delete"
"Delimiter","Delimiter"
"Delivery type","Delivery type"
"Direct setting of PDF settings is not supported.","Direct setting of PDF settings is not supported."
"Directly to someone else","Directly to someone else"
"Display full totals info in cart","Display full totals info in cart"
"Domains included in your license","Domains included in your license"
"Duplicate Gift Certificate Code was found.","Duplicate Gift Certificate Code was found."
"Edit Gift Certificate '%s'","Edit Gift Certificate '%s'"
